HolderAddress,Balance,PendingBalanceUpdate
0xb834c7de437ba3fa4e1fd535a548f0cedd942851,"110,125",no
0xef216b43d0ac20f414fd1002d5da2f28aeb006de,"110,000",no
0x2fa067777421471e9888ce16adfef7ba108b5034,"108,946",no
0x544e8c62b5e2cfa647446b008f290bacb377800f,"108,316",no
0x35d233889cefdd1bd5abb885ba2e87a6800cfe78,"100,015",no
0x97511cfd7a92f2089ebed4825ddaffd13416d734,"94,983",no
0xb1c27934e9d81c00f770fafede8969d5d7da96d6,"92,690",no
0x463185da4a5bbb0c897c9c232b85789cac0a9696,"91,634",no
0x00cd40451993ba123ac21a30f4f5a77843c25cef,"89,940",no
0x99c3ac6e7d39ca655bf42f1c48e0a453aac0d1ae,"86,107",no
0x3b5a32eb9df1e5d2b15007d3c48c833eb8ecc634,"86,000",no
0xd850c0a590435fcee70b0dbeba4b97fa9b7b2d81,"82,100",no
0xa916eb08f88d9508646ea104dde9093d3b00b8c8,"81,271",no
0x0e05e7d3672084fdac5c47a542d454f73ce15f84,"80,080",no
0xb5d82d46b6482ee2ebad5838d92aef30030bc37c,"80,000",no
0x86314cfdfaaaec39993fb93f01b0463b40402882,"72,586",no
0x3797603eb6b6eb7f4b8236385099d9ebef68dccb,"72,394",no
0x3d268203329c1103d9eea625bb8a59e888ae549d,"68,900",no
0xe4e0cc2c5191f856702a4691e62b96ad6e4fae76,"66,611",no
0xc809a56bbcb076d91027bcc0f1aad0061d9b1134,"63,203",no
0x1fedc079fd21000207095924410b09a9d0b61729,"61,930",no
0x4edac5c4d86c6c95488de0c3091b42cdbb52334f,"60,000",no
0x0d6d9d05ca5df386e1a4a29627a15ab0af5172f4,"59,000",no
0x2014888fe801a8a6976e6fdc0db83b1fc005129d,"57,143",no
0x9e1c580d8b491d6a6463b526a70ec9d64af7425f,"56,511",no
0xc8e988132f1a3cfea86b0fa4bec785668ce54d8a,"56,250",no
0x1357c0d7f1e8ed9f3775b7a492c686f72cbf5cb2,"55,000",no
0xdeeef8ad24e26dee6070bdddfa41c93dd5ec23bd,"54,286",no
0x6792d5f9f01c614e3af15a00a3e311bfcd04abbf,"53,333",no
0x99c084ad94bc0b2950e1bc3296918e59cd5c78b5,"52,904",no
0xdd78ced5df3436e781d1da6766301fbe2635207f,"51,053",no
0x5b3d152b92de321be7229e707046a243bd9e6a10,"50,000",no
0x83a2be87fcd3883ef19f9de69703d62d810e1b2d,"44,276",no
0x5aaef0d2ea0f7e50f6fd0617594af6d30601c41d,"44,071",no
0x1e8004f2b01f0235948c9fb027f6148fcc9ebbc1,"43,031",no
0x30d1d9fd5072f1549c939bb07fabad8ff0d74184,"42,857",no
0x8a95170c16052748d7003ef3604f1b7f95621ec8,"42,778",no
0xb1015f12227411e0a5f8adc7511d3018742dce13,"42,549",no
0xd7e8fdfc0ff796624d1af8fe8f006360f6f8683a,"42,003",no
0xf9e64bd016ec2f6da36023e2a3d27f5873f5a95c,"42,000",no
0x6f4b62959155ab12451eba5722ca7b2a105fb3d6,"41,864",no
0x51ed90dba117e7eb329c8a04da0318d1a11215aa,"41,719",no
0xb616de97410ea85c2cf722db029c101116e48a30,"41,651",no
0xbf831b656cb3fa4c83c6aa04d232f076058b8895,"41,271",no
0xa3757c3e4c4e9fe87470ea2597b1cc0782fa1799,"40,859",no
0x830fb488e3da47f2b12feede6af5d00f1eaa136a,"40,000",no
0xbfbe0a3b196bbe67d8630b01e6295ce65b32ecf4,"40,000",no
0x6efafb9fa4f0901a3d2ad3d507932342e5a6a1dc,"39,249",no
0xbe868cc3a9cca129b7d42b7cf9abc49d27d0947e,"37,180",no
0x43453b0e0cd5c0098982c924006aff8ea947b9fa,"36,856",no
0x49422e83b6bb33405aac76c443558ff3e65a1428,"35,337",no
0x6449a321436a6784fa9ce2c9e37147459fafc0eb,"34,024",no
0x46c0ddb26b01ec1a59283d2075e58fc6fee2105e,"34,000",no
0x34d4d349a7bc3adc7829ca3e5f2a9c1af37ef472,"32,720",no
0x3a3899193c580ebd90f46d1561095abb202fea74,"32,184",no
0x6dee37bb9a31b92707af129f34e2dc80f58b3a0a,"31,111",no
0x162c55eb05f0c6e1381be9627ee62d444b3d5de7,"30,800",no
